 Total Nb of available Diagnostics: ndiagt=   396
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   256 |WTRAC06 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye6
   257 |ForcTr06|  1 |       |SMR     MR|g/m^3/s         |dye6 forcing tendency
   258 |AB_gTr06|  1 |       |SMR     MR|g/m^3/s         |dye6 tendency from Adams-Bashforth
   259 |ADVrTr06|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye6
   260 |ADVxTr06|  1 |   261 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye6
   261 |ADVyTr06|  1 |   260 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye6
   262 |DFrETr06|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye6 (Explicit part)
   263 |DFxETr06|  1 |   264 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye6
   264 |DFyETr06|  1 |   263 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye6
   265 |DFrITr06|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye6 (Implicit part)
   266 |TRAC07  |  1 |       |SMR     MR|g/m^3           |dye7 concentration
   267 |UTRAC07 |  1 |   268 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye7
   268 |VTRAC07 |  1 |   267 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye7
   269 |WTRAC07 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye7
   270 |ForcTr07|  1 |       |SMR     MR|g/m^3/s         |dye7 forcing tendency
   271 |AB_gTr07|  1 |       |SMR     MR|g/m^3/s         |dye7 tendency from Adams-Bashforth
   272 |ADVrTr07|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye7
   273 |ADVxTr07|  1 |   274 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye7
   274 |ADVyTr07|  1 |   273 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye7
   275 |DFrETr07|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye7 (Explicit part)
   276 |DFxETr07|  1 |   277 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye7
   277 |DFyETr07|  1 |   276 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye7
   278 |DFrITr07|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye7 (Implicit part)
   279 |TRAC08  |  1 |       |SMR     MR|g/m^3           |dye8 concentration
   280 |UTRAC08 |  1 |   281 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye8
   281 |VTRAC08 |  1 |   280 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye8
   282 |WTRAC08 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye8
   283 |ForcTr08|  1 |       |SMR     MR|g/m^3/s         |dye8 forcing tendency
   284 |AB_gTr08|  1 |       |SMR     MR|g/m^3/s         |dye8 tendency from Adams-Bashforth
   285 |ADVrTr08|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye8
   286 |ADVxTr08|  1 |   287 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye8
   287 |ADVyTr08|  1 |   286 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye8
   288 |DFrETr08|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye8 (Explicit part)
   289 |DFxETr08|  1 |   290 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye8
   290 |DFyETr08|  1 |   289 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye8
   291 |DFrITr08|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye8 (Implicit part)
   292 |TRAC09  |  1 |       |SMR     MR|g/m^3           |dye9 concentration
   293 |UTRAC09 |  1 |   294 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye9
   294 |VTRAC09 |  1 |   293 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye9
   295 |WTRAC09 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye9
   296 |ForcTr09|  1 |       |SMR     MR|g/m^3/s         |dye9 forcing tendency
   297 |AB_gTr09|  1 |       |SMR     MR|g/m^3/s         |dye9 tendency from Adams-Bashforth
   298 |ADVrTr09|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye9
   299 |ADVxTr09|  1 |   300 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye9
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |ADVyTr09|  1 |   299 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye9
   301 |DFrETr09|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye9 (Explicit part)
   302 |DFxETr09|  1 |   303 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye9
   303 |DFyETr09|  1 |   302 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye9
   304 |DFrITr09|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye9 (Implicit part)
   305 |TRAC10  |  1 |       |SMR     MR|g/m^3           |dye10 concentration
   306 |UTRAC10 |  1 |   307 |UUr     MR|g/m^3.m/s       |Zonal Mass-Weighted Transp of dye10
   307 |VTRAC10 |  1 |   306 |VVr     MR|g/m^3.m/s       |Merid Mass-Weighted Transp of dye10
   308 |WTRAC10 |  1 |       |WM      MR|g/m^3.m/s       |Vert  Mass-Weighted Transp of dye10
   309 |ForcTr10|  1 |       |SMR     MR|g/m^3/s         |dye10 forcing tendency
   310 |AB_gTr10|  1 |       |SMR     MR|g/m^3/s         |dye10 tendency from Adams-Bashforth
   311 |ADVrTr10|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical   Advective Flux of dye10
   312 |ADVxTr10|  1 |   313 |UU      MR|g/m^3.m^3/s     |Zonal      Advective Flux of dye10
   313 |ADVyTr10|  1 |   312 |VV      MR|g/m^3.m^3/s     |Meridional Advective Flux of dye10
   314 |DFrETr10|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye10 (Explicit part)
   315 |DFxETr10|  1 |   316 |UU      MR|g/m^3.m^3/s     |Zonal      Diffusive Flux of dye10
   316 |DFyETr10|  1 |   315 |VV      MR|g/m^3.m^3/s     |Meridional Diffusive Flux of dye10
   317 |DFrITr10|  1 |       |WM      LR|g/m^3.m^3/s     |Vertical Diffusive Flux of dye10 (Implicit part)
   318 |TRAC11  |  1 |       |SMR     MR|kg/kg           |Tracer 0011 concentration
   319 |UTRAC11 |  1 |   320 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0011
   320 |VTRAC11 |  1 |   319 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0011
   321 |WTRAC11 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0011
   322 |ForcTr11|  1 |       |SMR     MR|kg/kg/s         |Tracer 0011 forcing tendency
   323 |AB_gTr11|  1 |       |SMR     MR|kg/kg/s         |Tracer 0011 tendency from Adams-Bashforth
   324 |ADVrTr11|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0011
   325 |ADVxTr11|  1 |   326 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0011
   326 |ADVyTr11|  1 |   325 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0011
   327 |DFrETr11|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Explicit part)
   328 |DFxETr11|  1 |   329 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0011
   329 |DFyETr11|  1 |   328 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0011
   330 |DFrITr11|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Implicit part)
   331 |TRAC12  |  1 |       |SMR     MR|kg/kg           |Tracer 0012 concentration
   332 |UTRAC12 |  1 |   333 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0012
   333 |VTRAC12 |  1 |   332 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0012
   334 |WTRAC12 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0012
   335 |ForcTr12|  1 |       |SMR     MR|kg/kg/s         |Tracer 0012 forcing tendency
   336 |AB_gTr12|  1 |       |SMR     MR|kg/kg/s         |Tracer 0012 tendency from Adams-Bashforth
   337 |ADVrTr12|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0012
   338 |ADVxTr12|  1 |   339 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0012
   339 |ADVyTr12|  1 |   338 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0012
   340 |DFrETr12|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Explicit part)
   341 |DFxETr12|  1 |   342 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0012
   342 |DFyETr12|  1 |   341 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0012
   343 |DFrITr12|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Implicit part)
   344 |TRAC13  |  1 |       |SMR     MR|kg/kg           |Tracer 0013 concentration
   345 |UTRAC13 |  1 |   346 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0013
   346 |VTRAC13 |  1 |   345 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0013
   347 |WTRAC13 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0013
   348 |ForcTr13|  1 |       |SMR     MR|kg/kg/s         |Tracer 0013 forcing tendency
   349 |AB_gTr13|  1 |       |SMR     MR|kg/kg/s         |Tracer 0013 tendency from Adams-Bashforth
   350 |ADVrTr13|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0013
   351 |ADVxTr13|  1 |   352 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0013
   352 |ADVyTr13|  1 |   351 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0013
   353 |DFrETr13|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Explicit part)
   354 |DFxETr13|  1 |   355 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0013
   355 |DFyETr13|  1 |   354 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0013
   356 |DFrITr13|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Implicit part)
   357 |TRAC14  |  1 |       |SMR     MR|kg/kg           |Tracer 0014 concentration
   358 |UTRAC14 |  1 |   359 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0014
   359 |VTRAC14 |  1 |   358 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0014
   360 |WTRAC14 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0014
   361 |ForcTr14|  1 |       |SMR     MR|kg/kg/s         |Tracer 0014 forcing tendency
   362 |AB_gTr14|  1 |       |SMR     MR|kg/kg/s         |Tracer 0014 tendency from Adams-Bashforth
   363 |ADVrTr14|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0014
   364 |ADVxTr14|  1 |   365 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0014
   365 |ADVyTr14|  1 |   364 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0014
   366 |DFrETr14|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Explicit part)
   367 |DFxETr14|  1 |   368 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0014
   368 |DFyETr14|  1 |   367 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0014
   369 |DFrITr14|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Implicit part)
   370 |TRAC15  |  1 |       |SMR     MR|kg/kg           |Tracer 0015 concentration
   371 |UTRAC15 |  1 |   372 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0015
   372 |VTRAC15 |  1 |   371 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0015
   373 |WTRAC15 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0015
   374 |ForcTr15|  1 |       |SMR     MR|kg/kg/s         |Tracer 0015 forcing tendency
   375 |AB_gTr15|  1 |       |SMR     MR|kg/kg/s         |Tracer 0015 tendency from Adams-Bashforth
   376 |ADVrTr15|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0015
   377 |ADVxTr15|  1 |   378 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0015
   378 |ADVyTr15|  1 |   377 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0015
   379 |DFrETr15|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Explicit part)
   380 |DFxETr15|  1 |   381 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0015
   381 |DFyETr15|  1 |   380 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0015
   382 |DFrITr15|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Implicit part)
   383 |TRAC16  |  1 |       |SMR     MR|kg/kg           |Tracer 0016 concentration
   384 |UTRAC16 |  1 |   385 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0016
   385 |VTRAC16 |  1 |   384 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0016
   386 |WTRAC16 |  1 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0016
   387 |ForcTr16|  1 |       |SMR     MR|kg/kg/s         |Tracer 0016 forcing tendency
   388 |AB_gTr16|  1 |       |SMR     MR|kg/kg/s         |Tracer 0016 tendency from Adams-Bashforth
   389 |ADVrTr16|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0016
   390 |ADVxTr16|  1 |   391 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0016
   391 |ADVyTr16|  1 |   390 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0016
   392 |DFrETr16|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0016 (Explicit part)
   393 |DFxETr16|  1 |   394 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0016
   394 |DFyETr16|  1 |   393 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0016
   395 |DFrITr16|  1 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0016 (Implicit part)
   396 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
